Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",111.700000,-100.000000,180.000000,top
"C2","22pF","C_0402_1005Metric",106.100000,-100.000000,180.000000,top
"R1","10K","R_0402_1005Metric",114.600000,-105.710000,-90.000000,top
"R2","10K","R_0402_1005Metric",113.400000,-100.500000,90.000000,top
"R3","10K","R_0402_1005Metric",104.200000,-112.410000,-90.000000,top
"R4","10K","R_0402_1005Metric",113.300000,-105.700000,90.000000,top
"U1","PCF8563T","SOIC-8_3.9x4.9mm_P1.27mm",108.890000,-103.400000,-90.000000,top
"Y1","Crystal","Crystal_SMD_3215-2Pin_3.2x1.5mm",103.900000,-102.200000,-90.000000,top
